"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","8","0","42","0","0"
"","DemoBlaze Shopping Cart","Remove product from cart","0","0","1","0","0"
"","DemoBlaze Home Page","Verify product categories section","0","0","1","0","0"
"","DemoBlaze Contact Modal","Validate contact form fields","0","0","4","0","0"
"","DemoBlaze Home Page","Verify product listings on home page","0","0","1","0","0"
"","DemoBlaze Home Page","Verify individual product details","0","0","3","0","0"
"","DemoBlaze Order Placement","Validate order form with different data combinations","3","0","2","0","0"
"","DemoBlaze Shopping Cart","Manage multiple products in cart","1","0","0","0","0"
"","DemoBlaze Contact Modal","Reset contact form","0","0","1","0","0"
"","DemoBlaze Home Page","Verify navigation bar elements are visible","0","0","1","0","0"
"","DemoBlaze Shopping Cart","Add product to cart successfully","0","0","1","0","0"
"","DemoBlaze Order Placement","Place order with multiple products","1","0","0","0","0"
"","DemoBlaze Contact Modal","Send valid contact message","0","0","1","0","0"
"","DemoBlaze Order Placement","Cancel order placement","0","0","1","0","0"
"","DemoBlaze Home Page","Verify footer elements","0","0","1","0","0"
"","Simple DemoBlaze Test","Verify home page loads","0","0","1","0","0"
"","DemoBlaze Shopping Cart","Verify empty cart behavior","0","0","1","0","0"
"","DemoBlaze Order Placement","Validate order form fields","0","0","1","0","0"
"","DemoBlaze Home Page","Verify carousel functionality","0","0","1","0","0"
"","DemoBlaze Order Placement","Verify order form data persistence during session","0","0","1","0","0"
"","DemoBlaze Shopping Cart","Verify cart maintains items across navigation","1","0","0","0","0"
"","DemoBlaze Contact Modal","Contact form data persistence during session","1","0","0","0","0"
"","DemoBlaze Order Placement","Attempt to place order with empty cart","0","0","1","0","0"
"","DemoBlaze Order Placement","Place order successfully with valid details","1","0","0","0","0"
"","DemoBlaze Contact Modal","Open and close contact modal","0","0","1","0","0"
